Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
10/6/2009,BAJAJFINSV,EQ,301.5,304,306.7,290.15,298.25,298.55,297.59,93211,2.77389E+12,,36016,0.3864
10/7/2009,BAJAJFINSV,EQ,298.55,301.6,312.4,301,308.85,305.45,306.47,101697,3.11668E+12,,49824,0.4899
10/8/2009,BAJAJFINSV,EQ,305.45,317,334,312,331,326.75,321.48,262333,8.43348E+12,,107477,0.4097
10/9/2009,BAJAJFINSV,EQ,326.75,330,342,320,321.95,322.25,331.85,159466,5.29189E+12,,60473,0.3792
10/12/2009,BAJAJFINSV,EQ,322.25,326.9,334.4,323.55,326,328.55,329.44,113738,3.74695E+12,,56374,0.4956
10/14/2009,BAJAJFINSV,EQ,328.55,334,349.9,328.05,346,344.9,339.76,312402,1.06141E+13,,135829,0.4348
10/15/2009,BAJAJFINSV,EQ,344.9,348,358,334.95,337.85,338.7,344.19,224940,7.74218E+12,,102856,0.4573
10/16/2009,BAJAJFINSV,EQ,338.7,339.95,342,320,321.8,321.95,328.27,104762,3.43906E+12,,52492,0.5011
10/17/2009,BAJAJFINSV,EQ,321.95,326,335.9,321.95,333,332.1,330.39,40492,1.3378E+12,,15973,0.3945
10/20/2009,BAJAJFINSV,EQ,332.1,337,337.9,326,330,330,330.95,113327,3.75052E+12,,66544,0.5872
10/21/2009,BAJAJFINSV,EQ,330,324.55,337,310,328.5,328.35,326.56,187915,6.1366E+12,,93360,0.4968
10/22/2009,BAJAJFINSV,EQ,328.35,328.35,335.35,324.05,329.05,328.25,328.9,76717,2.52326E+12,,43223,0.5634
10/23/2009,BAJAJFINSV,EQ,328.25,334.8,335,316,317,318.95,325.19,54343,1.76718E+12,,27703,0.5098
10/26/2009,BAJAJFINSV,EQ,318.95,319,323.7,306.1,311,308.3,314.48,42644,1.34107E+12,,20419,0.4788
10/27/2009,BAJAJFINSV,EQ,308.3,307,325,299,301.05,300.6,305.67,87632,2.67868E+12,,49416,0.5639
